"","item","item_link","is_beer","n","beer","price"
"1","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Brilliant",109.95
"2","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Daze",109.95
"3","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Doppelganger",109.95
"4","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Doubleganger",109.95
"5","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Green",109.95
"6","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"JJJuliusss",109.95
"7","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"On The Fly",109.95
"8","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Thank You",109.95
"9","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Very Hhhazyyy",109.95
"10","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Weeknight 12oz",109.95
"11","JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]","https://treehousebrew.com/shop/p/jjjuliusss-extra-kettle-dry-hopped-ipa-4-pack",TRUE,1,"JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]",18.2
"12","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Doubleganger",117.7
"13","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"JJJuliusss",117.7
"14","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Mega Treat",117.7
